test/stochastic/0/hammer-v1/success,test/stochastic/1/push-wall-v1/success,test/stochastic/2/faucet-close-v1/success,test/stochastic/3/push-back-v1/success,test/stochastic/4/stick-pull-v1/success,test/stochastic/5/handle-press-side-v1/success,test/stochastic/6/push-v1/success,test/stochastic/7/shelf-place-v1/success,test/stochastic/8/window-close-v1/success,test/stochastic/9/peg-unplug-side-v1/success,epoch,directory,method,seed,test/stochastic/average_success
0.9,0.9,0.9,1.0,0.8,1.0,0.9,0.8,1.0,0.0,450,cl_111,packnet,11,0.82
1.0,0.9,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,500,cl_111,packnet,11,0.95
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_112,packnet,12,0.08
0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_112,packnet,12,0.15
0.8,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_112,packnet,12,0.22
0.9,0.7,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_112,packnet,12,0.35
0.9,0.5,1.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,250,cl_112,packnet,12,0.3299999999999999
0.5,0.7,0.9,1.0,0.0,0.9,0.0,0.0,0.0,0.0,300,cl_112,packnet,12,0.4
0.8,0.6,0.9,1.0,0.0,0.9,0.8,0.0,0.0,0.0,350,cl_112,packnet,12,0.5
0.6,0.9,1.0,0.9,0.0,1.0,0.9,0.8,0.0,0.0,400,cl_112,packnet,12,0.6100000000000001
0.8,0.7,1.0,1.0,0.0,0.9,1.0,0.9,1.0,0.0,450,cl_112,packnet,12,0.7300000000000001
0.7,0.7,1.0,1.0,0.0,0.9,0.9,0.8,0.9,1.0,500,cl_112,packnet,12,0.79
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_113,packnet,13,0.09
0.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_113,packnet,13,0.17
1.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_113,packnet,13,0.24
1.0,0.7,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_113,packnet,13,0.36
0.9,0.4,0.9,1.0,0.4,0.0,0.0,0.0,0.0,0.0,250,cl_113,packnet,13,0.36
1.0,0.8,0.8,1.0,0.4,1.0,0.0,0.0,0.0,0.0,300,cl_113,packnet,13,0.5
1.0,0.8,1.0,1.0,0.7,0.9,0.7,0.0,0.0,0.0,350,cl_113,packnet,13,0.6100000000000001
1.0,0.7,0.8,1.0,0.5,0.9,1.0,1.0,0.0,0.0,400,cl_113,packnet,13,0.6900000000000001
1.0,0.9,0.9,1.0,0.5,1.0,0.9,0.9,1.0,0.0,450,cl_113,packnet,13,0.8100000000000002
1.0,0.8,0.9,1.0,0.4,1.0,0.8,0.9,0.8,0.9,500,cl_113,packnet,13,0.85
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_114,packnet,14,0.03
0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_114,packnet,14,0.11
0.6,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,cl_114,packnet,14,0.17
0.5,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,200,cl_114,packnet,14,0.27
0.2,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,250,cl_114,packnet,14,0.37
0.6,0.4,1.0,1.0,0.9,1.0,0.0,0.0,0.0,0.0,300,cl_114,packnet,14,0.49
0.6,0.3,1.0,1.0,1.0,1.0,0.9,0.0,0.0,0.0,350,cl_114,packnet,14,0.5800000000000001
0.4,0.5,1.0,1.0,1.0,1.0,0.9,0.8,0.0,0.0,400,cl_114,packnet,14,0.66
0.5,0.3,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.0,450,cl_114,packnet,14,0.74
0.1,0.4,1.0,1.0,1.0,1.0,0.9,0.7,1.0,0.9,500,cl_114,packnet,14,0.8
0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,cl_115,packnet,15,0.08
0.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,cl_115,packnet,15,0.15
